,date,maximum temperature,minimum temperature,average temperature,precipitation,snow fall,snow depth
133,2016-05-13,65,57,61.0,0.25,0.0,0
134,2016-05-14,73,56,64.5,0.00,0.0,0
135,2016-05-15,59,46,52.5,0.00,0.0,0
136,2016-05-16,66,43,54.5,0.00,0.0,0
137,2016-05-17,64,52,58.0,0.00,0.0,0
138,2016-05-18,68,52,60.0,T,0.0,0
139,2016-05-19,73,54,63.5,0.00,0.0,0
140,2016-05-20,76,53,64.5,0.00,0.0,0
141,2016-05-21,66,54,60.0,0.04,0.0,0
142,2016-05-22,70,52,61.0,0.09,0.0,0
143,2016-05-23,78,56,67.0,0.02,0.0,0
144,2016-05-24,73,58,65.5,0.18,0.0,0
145,2016-05-25,88,61,74.5,0.00,0.0,0
146,2016-05-26,90,69,79.5,0.00,0.0,0
147,2016-05-27,87,73,80.0,0.00,0.0,0
148,2016-05-28,92,71,81.5,0.00,0.0,0
149,2016-05-29,87,70,78.5,T,0.0,0
150,2016-05-30,82,68,75.0,1.65,0.0,0
151,2016-05-31,85,71,78.0,0.00,0.0,0
152,2016-06-01,83,66,74.5,0.00,0.0,0
153,2016-06-02,78,62,70.0,0.00,0.0,0
154,2016-06-03,70,63,66.5,0.04,0.0,0
155,2016-06-04,83,66,74.5,0.40,0.0,0
156,2016-06-05,71,65,68.0,0.91,0.0,0
157,2016-06-06,83,65,74.0,0.00,0.0,0
158,2016-06-07,85,64,74.5,T,0.0,0
159,2016-06-08,67,52,59.5,0.45,0.0,0
160,2016-06-09,71,54,62.5,0.00,0.0,0
161,2016-06-10,77,57,67.0,0.00,0.0,0
162,2016-06-11,88,59,73.5,0.00,0.0,0
163,2016-06-12,83,62,72.5,0.00,0.0,0
164,2016-06-13,74,57,65.5,0.00,0.0,0
165,2016-06-14,79,58,68.5,0.00,0.0,0
166,2016-06-15,85,62,73.5,0.00,0.0,0
167,2016-06-16,74,65,69.5,0.22,0.0,0
168,2016-06-17,78,63,70.5,0.00,0.0,0
169,2016-06-18,87,61,74.0,0.00,0.0,0
170,2016-06-19,88,66,77.0,0.00,0.0,0
171,2016-06-20,84,64,74.0,0.00,0.0,0
172,2016-06-21,87,72,79.5,T,0.0,0
173,2016-06-22,86,68,77.0,0.00,0.0,0
174,2016-06-23,83,69,76.0,0.00,0.0,0
175,2016-06-24,84,67,75.5,0.00,0.0,0
176,2016-06-25,86,64,75.0,0.00,0.0,0
177,2016-06-26,87,67,77.0,0.00,0.0,0
178,2016-06-27,83,67,75.0,0.45,0.0,0
179,2016-06-28,76,68,72.0,0.12,0.0,0
180,2016-06-29,83,67,75.0,0.01,0.0,0
181,2016-06-30,85,67,76.0,0.00,0.0,0
182,2016-07-01,79,66,72.5,0.83,0,0
183,2016-07-02,76,63,69.5,0,0,0
184,2016-07-03,78,64,71.0,0,0,0
185,2016-07-04,84,66,75.0,0.49,0,0
186,2016-07-05,86,69,77.5,0.66,0,0
187,2016-07-06,91,75,83.0,0,0,0
188,2016-07-07,89,77,83.0,0.04,0,0
189,2016-07-08,86,67,76.5,0.08,0,0
190,2016-07-09,72,65,68.5,0.53,0,0
191,2016-07-10,80,66,73.0,T,0,0
192,2016-07-11,81,65,73.0,0,0,0
193,2016-07-12,82,68,75.0,0,0,0
194,2016-07-13,85,71,78.0,0,0,0
195,2016-07-14,88,73,80.5,0.62,0,0
196,2016-07-15,88,79,83.5,0,0,0
197,2016-07-16,90,75,82.5,T,0,0
198,2016-07-17,89,75,82.0,0,0,0
199,2016-07-18,93,72,82.5,0.35,0,0
200,2016-07-19,83,73,78.0,0,0,0
201,2016-07-20,85,68,76.5,0,0,0
202,2016-07-21,90,71,80.5,0,0,0
203,2016-07-22,94,74,84.0,0,0,0
204,2016-07-23,96,80,88.0,0,0,0
205,2016-07-24,94,75,84.5,0,0,0
206,2016-07-25,93,73,83.0,1,0,0
207,2016-07-26,89,72,80.5,0,0,0
208,2016-07-27,91,74,82.5,0,0,0
209,2016-07-28,95,75,85.0,T,0,0
210,2016-07-29,85,69,77.0,1.09,0,0
211,2016-07-30,84,73,78.5,0.25,0,0
212,2016-07-31,78,71,74.5,1.08,0,0
213,2016-08-01,80,69,74.5,T,0,0
214,2016-08-02,79,68,73.5,0,0,0
215,2016-08-03,80,66,73.0,0,0,0
216,2016-08-04,81,67,74.0,0,0,0
